id,category,sender,recipient,timestamp,message
336,Couple,Partner,You,2025-06-25 13:31:20,Dinner at our place tonight?
337,Family,Bro,Bro,2025-07-21 13:36:31,Take care of the dog while I'm away. :)
338,Couple,Partner,You,2024-12-21 15:06:56,Can't stop thinking about you.
339,Family,Dad,Dad,2025-10-04 08:45:17,Have you eaten?
340,Friend,Alex,Taylor,2025-05-03 14:23:51,Call me when you're free.
341,Friend,Alex,Jordan,2025-06-29 21:51:14,"I'm running late, save me a seat...."
342,Work/Colleague,Liam (QA),You,2025-06-24 01:09:49,Who will cover the support shift? :)
343,Mixed/Generic,User1,Group,2025-07-08 04:09:37,Thanks a lot! 😂
344,Family,Uncle,Dad,2025-02-13 12:20:04,Can you pick up some milk?!
345,Friend,Morgan,Casey,2025-04-30 00:56:48,Let's plan a trip soon!!
346,Friend,Jamie,Taylor,2025-06-25 01:07:26,Did you watch that new series? :)
347,Work/Colleague,Chris (Lead),Client,2025-02-12 11:04:59,Can you review the report?!
348,Friend,Riley,Taylor,2024-12-29 03:30:03,"I'm running late, save me a seat. - can't wait"
349,Mixed/Generic,User1,Contact,2025-10-29 20:36:19,That sounds perfect. :)
350,Couple,Love,You,2025-08-20 08:59:11,Love you to the moon.
351,Work/Colleague,Priya (Dev),Client,2025-06-07 19:20:27,Reminder: submit timesheets. :)
352,Mixed/Generic,User1,Friend,2025-03-24 21:32:49,LOL that's hilarious!
353,Family,Bro,Dad,2025-06-13 20:04:25,Dinner at mom's on Sunday....
354,Couple,Bae,Partner,2025-05-24 11:42:31,Can't wait to see you later. 😂
355,Work/Colleague,Raj (PM),Client,2025-08-12 16:52:57,Any updates on the ticket? - can't wait
356,Couple,Love,You,2025-11-16 20:53:06,"Good morning, love ☀️"
357,Family,Aunt,Bro,2025-09-07 23:14:11,Can you pick up some milk? 😂
358,Couple,Love,You,2025-02-16 06:32:46,Let's have a movie night in.??
359,Mixed/Generic,User2,Group,2025-04-04 00:15:16,That sounds perfect.??
360,Work/Colleague,Priya (Dev),All,2025-03-19 23:40:43,I'll be WFH tomorrow....
361,Mixed/Generic,Contact,Friend,2025-11-08 03:40:24,Thanks a lot!...
362,Mixed/Generic,User1,Group,2025-01-06 21:57:12,LOL that's hilarious!
363,Friend,Alex,Taylor,2025-04-05 16:47:30,Did you watch that new series?...
364,Friend,Jamie,Jamie,2025-11-21 11:00:08,Call me when you're free.
365,Family,Mom,Sis,2025-07-02 05:45:20,Have you eaten?...
366,Family,Dad,Mom,2025-03-02 00:57:30,Are you coming home this weekend?
367,Friend,Riley,Casey,2025-05-06 03:30:09,Call me when you're free. 😂
368,Couple,Honey,You,2025-06-25 03:26:40,Let's have a movie night in. :)
369,Family,Mom,Bro,2025-05-15 10:15:23,Have you eaten?!
370,Couple,Partner,You,2025-04-16 06:53:57,"Good morning, love ☀️??"
371,Work/Colleague,Raj (PM),Team,2025-08-08 09:44:37,Who will cover the support shift? :)
372,Couple,You,Partner,2025-02-09 06:25:07,"Good morning, love ☀️..."
373,Friend,Alex,Taylor,2025-09-12 15:52:41,Let's plan a trip soon!🙏
374,Mixed/Generic,User1,Contact,2025-02-07 16:12:39,Happy birthday! 🎉 :)
375,Family,Sis,Bro,2024-12-08 03:31:27,Take care of the dog while I'm away.
376,Family,Mom,Mom,2025-07-30 03:36:43,Don't forget your jacket!!
377,Couple,Love,Partner,2025-11-09 07:17:31,Love you to the moon. - can't wait
378,Friend,Jamie,Taylor,2025-02-14 16:42:39,I aced the presentation today! - can't wait
379,Couple,Honey,You,2025-06-26 21:24:24,Love you to the moon.🙏
380,Work/Colleague,Liam (QA),All,2024-11-25 07:18:00,Meeting moved to 3 PM.!
381,Friend,Casey,Casey,2025-10-10 06:11:26,Can you pick me up at 6?
382,Mixed/Generic,User2,Group,2025-09-19 03:12:04,"Sure, works for me."
383,Friend,Morgan,Sam,2025-10-10 17:29:38,I aced the presentation today!
384,Family,Aunt,Sis,2025-11-18 19:45:13,Can you pick up some milk?!
385,Couple,Love,You,2025-03-04 00:12:19,"Miss you, come home safe.🙏"
386,Family,Dad,Sis,2025-07-10 12:25:32,"Bring umbrellas, it's raining here. 😂"
387,Friend,Morgan,Riley,2025-06-24 12:44:57,Did you watch that new series?!
388,Work/Colleague,Liam (QA),All,2025-01-24 07:55:38,I'll be WFH tomorrow.??
389,Friend,Jordan,Riley,2025-05-06 18:17:02,Wanna grab coffee tomorrow?
390,Work/Colleague,Liam (QA),Client,2025-04-18 06:40:34,Let's sync after lunch. - can't wait
391,Mixed/Generic,User2,Group,2024-12-04 23:04:00,On my way 🚗🙏
392,Couple,Honey,Partner,2024-12-04 07:20:11,Dinner at our place tonight? 😂
393,Couple,Partner,Partner,2025-07-04 16:04:24,Love you to the moon.!
394,Couple,Partner,You,2025-11-11 13:34:21,Love you to the moon....
395,Mixed/Generic,User2,Group,2025-04-29 12:12:02,Sending the location now.
396,Friend,Taylor,Riley,2025-04-22 16:39:14,That meme you sent cracked me up 😂
397,Friend,Jamie,Morgan,2025-03-10 15:08:59,Call me when you're free....
398,Family,Uncle,Mom,2025-07-20 06:26:13,Don't forget your jacket!
399,Family,Uncle,Mom,2024-12-29 06:49:57,"Bring umbrellas, it's raining here.🙏"
400,Couple,Honey,You,2025-10-05 20:57:33,Did you take your meds today?
401,Friend,Taylor,Jamie,2025-05-08 13:31:12,What's the plan this weekend? - can't wait
402,Work/Colleague,Chris (Lead),All,2025-11-12 12:48:09,Who will cover the support shift? - can't wait
403,Friend,Sam,Sam,2025-05-30 19:01:26,Can you pick me up at 6?
404,Couple,Love,Partner,2025-03-27 02:49:31,You always make me smile ❤️ - can't wait
405,Couple,Bae,You,2025-11-03 02:11:22,I packed your favorite snack. 😂
406,Friend,Sam,Jordan,2025-03-06 00:01:41,Let's plan a trip soon! :)
407,Family,Aunt,Bro,2025-07-29 15:37:56,Don't forget your jacket!??
408,Family,Uncle,Bro,2025-11-10 08:01:14,"Bring umbrellas, it's raining here.!"
409,Work/Colleague,Chris (Lead),Client,2025-11-22 22:33:33,Any updates on the ticket?!
410,Friend,Sam,Jordan,2025-06-11 23:12:16,Wanna grab coffee tomorrow? - can't wait
411,Couple,Honey,Partner,2025-05-10 08:07:21,Can't stop thinking about you.🙏
412,Couple,Bae,Partner,2025-01-13 00:05:53,"Miss you, come home safe.??"
413,Work/Colleague,Chris (Lead),Team,2025-06-18 02:05:18,Do you have the client notes?
414,Friend,Jordan,Casey,2025-03-08 16:14:10,Wanna grab coffee tomorrow?
415,Couple,Love,Partner,2025-08-21 12:39:38,Dinner at our place tonight?!
416,Family,Aunt,Dad,2025-07-01 01:16:18,"Bring umbrellas, it's raining here.??"
417,Friend,Alex,Casey,2025-03-22 01:24:31,I aced the presentation today!
418,Friend,Jamie,Morgan,2025-04-26 14:13:10,Can you pick me up at 6???
419,Couple,Love,You,2025-06-29 05:11:21,"Miss you, come home safe. :)"
420,Friend,Riley,Jordan,2025-02-08 12:20:45,What's the plan this weekend???
421,Family,Aunt,Mom,2025-02-19 17:01:21,Remember to call your grandmother. 😂
422,Family,Uncle,Bro,2025-08-05 14:54:01,Have you eaten?...
423,Friend,Riley,Alex,2025-07-13 17:41:18,"I'm running late, save me a seat.??"
424,Work/Colleague,Emma (HR),Team,2025-08-09 08:58:26,Meeting moved to 3 PM. :)
425,Family,Uncle,Bro,2025-01-14 01:18:37,Can you pick up some milk?
426,Work/Colleague,Raj (PM),You,2025-07-04 08:38:55,Great job on the demo!...
427,Family,Uncle,Sis,2025-02-04 20:38:45,Don't forget your jacket! 😂
428,Mixed/Generic,Contact,Friend,2025-04-29 04:13:16,Thanks a lot!
429,Mixed/Generic,Contact,Friend,2025-09-11 18:39:09,On my way 🚗 :)
430,Work/Colleague,Emma (HR),All,2025-01-05 20:35:45,Let's sync after lunch.🙏
431,Family,Bro,Mom,2025-05-02 11:36:24,Are you coming home this weekend?
432,Work/Colleague,Emma (HR),Client,2025-02-01 06:17:22,I'll be WFH tomorrow. - can't wait
433,Work/Colleague,Emma (HR),You,2025-02-24 15:53:57,Meeting moved to 3 PM.
434,Friend,Taylor,Jamie,2025-06-12 20:03:15,Can you pick me up at 6? 😂
435,Couple,Partner,Partner,2024-12-11 04:37:01,Love you to the moon. - can't wait
436,Friend,Alex,Sam,2025-04-13 13:45:30,I aced the presentation today!
437,Friend,Taylor,Jordan,2025-09-04 20:24:10,Can you pick me up at 6? 😂
438,Friend,Riley,Sam,2024-12-19 06:45:12,Let's plan a trip soon! - can't wait
439,Friend,Riley,Taylor,2024-12-25 03:03:33,Can you pick me up at 6?!
440,Work/Colleague,Priya (Dev),Client,2025-09-18 08:45:52,Can you review the report?
441,Friend,Alex,Alex,2025-09-24 15:00:13,I aced the presentation today! - can't wait
442,Family,Mom,Dad,2025-10-11 02:39:01,Send the grocery list.!
443,Friend,Riley,Jordan,2025-09-17 07:01:14,Let's plan a trip soon!!
444,Mixed/Generic,User1,Contact,2025-11-20 08:09:31,On my way 🚗🙏
445,Family,Sis,Dad,2025-04-28 07:56:56,Send the grocery list.
446,Family,Mom,Mom,2025-09-22 08:54:50,Dinner at mom's on Sunday.
447,Work/Colleague,Emma (HR),You,2025-07-21 20:17:44,I'll be WFH tomorrow.
448,Family,Aunt,Sis,2024-12-22 19:23:49,Dinner at mom's on Sunday.
449,Friend,Taylor,Morgan,2024-12-30 04:23:34,Call me when you're free. 😂
450,Work/Colleague,Emma (HR),Client,2025-07-24 12:11:25,Great job on the demo!
451,Family,Aunt,Mom,2025-06-16 01:34:27,Remember to call your grandmother. - can't wait
452,Couple,Honey,Partner,2024-12-11 00:05:21,Love you to the moon....
453,Work/Colleague,Raj (PM),Team,2025-07-13 22:31:29,Meeting moved to 3 PM.
454,Friend,Morgan,Riley,2025-04-26 14:57:28,"Hey, are you free tonight?..."
455,Work/Colleague,Chris (Lead),All,2025-10-13 19:05:46,Meeting moved to 3 PM. 😂
456,Friend,Jordan,Casey,2025-01-28 07:17:08,"I'm running late, save me a seat.!"
457,Work/Colleague,Liam (QA),Client,2025-10-26 21:28:42,Meeting moved to 3 PM. :)
458,Friend,Sam,Jamie,2025-01-18 04:22:34,Can you pick me up at 6?🙏
459,Couple,You,You,2024-12-01 05:57:59,Dinner at our place tonight?
460,Friend,Riley,Jordan,2025-09-21 20:35:39,Let's plan a trip soon! - can't wait
461,Work/Colleague,Raj (PM),You,2025-07-08 11:18:24,Meeting moved to 3 PM.!
462,Friend,Sam,Jamie,2025-03-08 17:16:04,Call me when you're free.??
463,Friend,Jordan,Casey,2025-07-18 02:37:59,Call me when you're free.
464,Work/Colleague,Priya (Dev),Team,2025-11-18 21:28:33,Meeting moved to 3 PM.
465,Friend,Morgan,Jordan,2025-11-06 10:15:01,Let's plan a trip soon!
466,Work/Colleague,Priya (Dev),You,2025-04-25 18:43:52,Let's sync after lunch. :)
467,Friend,Casey,Sam,2024-12-16 04:27:43,Wanna grab coffee tomorrow?...
468,Friend,Alex,Morgan,2025-03-31 20:06:04,What's the plan this weekend?
469,Work/Colleague,Liam (QA),Team,2025-04-06 06:05:22,Do you have the client notes?...
470,Couple,Love,Partner,2025-07-23 13:29:19,Can't stop thinking about you.🙏
471,Couple,Partner,You,2025-11-21 15:27:02,I packed your favorite snack.
472,Friend,Casey,Alex,2025-11-24 06:26:52,What's the plan this weekend? - can't wait
473,Couple,You,You,2025-07-26 15:05:40,Can't stop thinking about you....
474,Couple,Partner,Partner,2025-11-02 21:57:07,"Good morning, love ☀️"
475,Work/Colleague,Emma (HR),You,2025-10-12 09:14:04,Reminder: submit timesheets.??
476,Friend,Morgan,Sam,2025-02-08 04:06:43,Did you watch that new series?🙏
477,Couple,Partner,Partner,2025-06-16 16:04:21,Dinner at our place tonight? 😂
478,Work/Colleague,Liam (QA),Client,2025-07-29 03:39:37,I'll be WFH tomorrow. 😂
479,Mixed/Generic,Contact,Friend,2025-10-02 00:23:42,On my way 🚗
480,Couple,Honey,You,2025-05-25 22:49:11,Did you take your meds today?...
481,Couple,Bae,You,2025-09-05 19:18:12,I packed your favorite snack.
482,Work/Colleague,Raj (PM),All,2025-09-11 03:03:31,Who will cover the support shift? - can't wait
483,Work/Colleague,Emma (HR),Team,2025-07-15 00:02:57,I'll be WFH tomorrow. 😂
484,Friend,Jamie,Taylor,2025-04-03 02:40:09,Can you pick me up at 6?
485,Work/Colleague,Raj (PM),Team,2025-08-04 01:37:13,Please share the slides by EOD.
486,Friend,Casey,Sam,2025-01-28 20:57:22,Can you pick me up at 6?🙏
487,Mixed/Generic,User1,Friend,2024-12-29 14:14:05,"BRB, phone's dying. :)"
488,Work/Colleague,Liam (QA),Team,2025-04-03 04:32:09,Meeting moved to 3 PM.
489,Friend,Morgan,Morgan,2025-11-09 16:26:41,Call me when you're free.??
490,Family,Sis,Dad,2025-07-07 20:11:25,"Bring umbrellas, it's raining here."
491,Couple,You,You,2025-03-14 15:22:46,Dinner at our place tonight? 😂
492,Work/Colleague,Raj (PM),Team,2025-05-13 01:22:59,Any updates on the ticket? 😂
493,Couple,Partner,You,2024-11-24 17:18:17,Can't wait to see you later.!
494,Couple,Bae,Partner,2025-07-09 23:49:58,I packed your favorite snack.!
495,Friend,Taylor,Alex,2025-10-26 13:12:22,Call me when you're free. 😂
496,Family,Dad,Dad,2025-07-21 06:27:50,Can you pick up some milk?
497,Friend,Alex,Taylor,2025-05-10 17:27:42,What's the plan this weekend?🙏
498,Mixed/Generic,User1,Friend,2025-06-15 17:19:00,On my way 🚗🙏
499,Mixed/Generic,Contact,Contact,2025-02-07 09:51:33,LOL that's hilarious! - can't wait
500,Friend,Jamie,Riley,2025-03-19 04:59:51,"I'm running late, save me a seat."
501,Friend,Taylor,Alex,2025-03-26 06:21:17,"I'm running late, save me a seat...."
502,Couple,Partner,You,2025-08-26 18:35:53,Love you to the moon. - can't wait
503,Friend,Jordan,Sam,2025-05-23 03:44:20,Did you watch that new series?...
504,Couple,Love,You,2025-06-23 18:38:02,Let's have a movie night in. - can't wait
505,Friend,Morgan,Jamie,2025-08-27 09:55:07,Did you watch that new series? - can't wait
506,Family,Sis,Dad,2025-08-27 16:36:11,Can you pick up some milk?🙏
507,Couple,Partner,You,2024-11-30 09:31:24,Can't stop thinking about you.
508,Couple,You,You,2025-06-15 08:07:12,Love you to the moon.🙏
509,Friend,Sam,Jamie,2025-06-09 03:32:48,Call me when you're free.
510,Friend,Jordan,Sam,2025-04-11 05:57:53,Let's plan a trip soon! - can't wait
511,Friend,Sam,Casey,2025-10-01 06:19:59,"I'm running late, save me a seat. 😂"
512,Friend,Morgan,Jordan,2025-03-17 16:35:28,I aced the presentation today!!
513,Couple,You,Partner,2024-12-26 22:09:59,Let's have a movie night in.🙏
514,Friend,Alex,Riley,2025-06-14 20:52:20,Wanna grab coffee tomorrow?
515,Mixed/Generic,User2,Friend,2025-09-04 03:38:56,"BRB, phone's dying.!"
516,Family,Sis,Bro,2025-04-18 06:34:53,Remember to call your grandmother.
517,Friend,Jordan,Alex,2025-06-08 22:53:45,Can you pick me up at 6?
518,Mixed/Generic,Contact,Contact,2025-07-12 20:07:47,I can't believe this happened!...
519,Friend,Alex,Morgan,2025-02-16 12:30:17,Wanna grab coffee tomorrow?🙏
520,Friend,Alex,Morgan,2025-06-27 07:37:15,Let's plan a trip soon!
521,Family,Mom,Mom,2025-08-29 07:08:38,Dinner at mom's on Sunday. :)
522,Friend,Jamie,Sam,2025-05-05 13:13:59,Wanna grab coffee tomorrow? 😂
523,Couple,You,Partner,2025-05-19 16:29:30,Can't stop thinking about you.
524,Couple,You,Partner,2025-03-31 20:47:22,I packed your favorite snack.??
525,Friend,Alex,Jordan,2025-10-12 17:51:45,That meme you sent cracked me up 😂
526,Work/Colleague,Chris (Lead),All,2025-10-24 16:17:08,Let's sync after lunch....
527,Work/Colleague,Chris (Lead),Client,2025-07-27 13:02:22,Let's sync after lunch.🙏
528,Friend,Alex,Jordan,2025-04-10 00:05:07,Can you pick me up at 6?
529,Mixed/Generic,User1,Friend,2025-11-03 14:57:54,On my way 🚗
530,Friend,Taylor,Jordan,2025-07-15 18:44:16,Can you pick me up at 6?🙏
531,Mixed/Generic,User1,Group,2025-05-05 10:16:48,"BRB, phone's dying...."
532,Couple,Love,Partner,2024-12-01 07:41:41,Can't stop thinking about you.
533,Family,Mom,Bro,2025-09-10 09:45:02,Are you coming home this weekend?
534,Family,Mom,Mom,2025-02-23 17:51:35,Remember to call your grandmother. 😂
535,Work/Colleague,Emma (HR),Client,2025-01-17 13:09:23,Do you have the client notes?🙏
536,Friend,Morgan,Jordan,2025-01-17 15:45:12,That meme you sent cracked me up 😂🙏
537,Friend,Taylor,Alex,2025-07-10 16:49:10,Let's plan a trip soon!??
538,Friend,Riley,Riley,2024-12-04 02:48:13,That meme you sent cracked me up 😂??
539,Mixed/Generic,User1,Group,2025-06-13 20:34:13,Sending the location now.??
540,Work/Colleague,Raj (PM),All,2025-08-08 15:33:18,Who will cover the support shift???
541,Work/Colleague,Liam (QA),Team,2025-09-05 03:59:26,Reminder: submit timesheets....
542,Couple,Honey,You,2025-02-07 05:19:32,Can't wait to see you later....
543,Friend,Alex,Taylor,2025-04-06 04:32:20,"I'm running late, save me a seat."
544,Mixed/Generic,User2,Group,2025-03-11 15:55:38,Sending the location now.??
545,Family,Uncle,Mom,2025-05-18 12:35:00,Remember to call your grandmother. :)
546,Family,Bro,Sis,2025-09-02 20:57:43,"Bring umbrellas, it's raining here. - can't wait"
547,Work/Colleague,Liam (QA),Team,2025-10-31 00:26:54,Meeting moved to 3 PM.!
548,Work/Colleague,Priya (Dev),All,2025-07-10 06:39:22,Great job on the demo! :)
549,Couple,You,Partner,2024-12-29 00:04:25,"Good morning, love ☀️"
550,Family,Dad,Sis,2025-06-21 06:58:41,Have you eaten?🙏
551,Friend,Casey,Jamie,2025-08-05 13:23:15,Can you pick me up at 6? 😂
552,Couple,Love,Partner,2025-10-04 06:06:43,Can't wait to see you later.🙏
553,Family,Aunt,Sis,2024-12-10 02:26:37,Don't forget your jacket! 😂
554,Couple,Bae,Partner,2025-07-14 06:29:28,Did you take your meds today? 😂
555,Work/Colleague,Priya (Dev),All,2025-07-25 04:18:45,Do you have the client notes?...
556,Work/Colleague,Emma (HR),You,2025-11-11 06:31:02,Who will cover the support shift?
557,Couple,Bae,Partner,2025-05-11 05:05:37,Can't stop thinking about you.!
558,Family,Dad,Sis,2024-12-08 10:54:51,Can you pick up some milk? :)
559,Family,Uncle,Sis,2025-06-25 00:11:26,Send the grocery list....
560,Work/Colleague,Priya (Dev),You,2025-03-29 01:43:17,Reminder: submit timesheets.
561,Work/Colleague,Priya (Dev),You,2025-08-03 17:26:39,Reminder: submit timesheets.
562,Friend,Morgan,Casey,2025-07-14 09:03:35,That meme you sent cracked me up 😂 - can't wait
563,Friend,Jamie,Alex,2025-01-31 07:46:56,Wanna grab coffee tomorrow?🙏
564,Friend,Sam,Morgan,2025-06-25 15:20:20,"I'm running late, save me a seat...."
565,Friend,Jordan,Taylor,2025-04-29 09:38:54,Did you watch that new series? - can't wait
566,Work/Colleague,Priya (Dev),You,2025-10-14 12:37:38,Any updates on the ticket?
567,Couple,Bae,You,2025-04-07 20:25:15,Dinner at our place tonight?
568,Friend,Jordan,Jamie,2025-09-19 08:00:25,Did you watch that new series?
569,Couple,Honey,Partner,2025-05-13 06:12:35,Let's have a movie night in.??
570,Friend,Casey,Alex,2025-02-26 23:26:27,"I'm running late, save me a seat. - can't wait"
571,Friend,Taylor,Taylor,2025-06-19 01:41:07,"Hey, are you free tonight? - can't wait"
572,Friend,Riley,Jordan,2025-11-01 19:31:21,What's the plan this weekend?
573,Mixed/Generic,Contact,Contact,2025-03-01 18:04:46,"Sure, works for me.🙏"
574,Couple,Bae,Partner,2025-08-21 00:22:35,Dinner at our place tonight? - can't wait
575,Mixed/Generic,User1,Friend,2025-09-18 22:41:25,I can't believe this happened! :)
576,Work/Colleague,Chris (Lead),All,2025-05-21 06:41:39,Who will cover the support shift?
577,Work/Colleague,Liam (QA),Team,2025-11-01 02:26:36,Let's sync after lunch.🙏
578,Family,Mom,Mom,2025-04-11 16:32:06,Have you eaten?!
579,Friend,Jamie,Jordan,2024-12-04 07:25:50,That meme you sent cracked me up 😂 :)
580,Friend,Sam,Riley,2025-01-19 01:23:08,Can you pick me up at 6?🙏
581,Couple,Love,You,2025-09-28 02:30:38,"Miss you, come home safe. 😂"
582,Couple,Partner,Partner,2025-08-13 17:20:53,Love you to the moon....
583,Work/Colleague,Priya (Dev),Team,2025-03-15 22:49:04,Do you have the client notes?...
584,Family,Sis,Dad,2025-11-19 03:08:21,Send the grocery list.
585,Mixed/Generic,Contact,Group,2025-10-09 11:44:56,See you soon.
586,Friend,Riley,Taylor,2025-06-26 20:45:47,Wanna grab coffee tomorrow???
587,Couple,Partner,You,2025-05-24 18:59:39,"Miss you, come home safe. 😂"
588,Couple,You,You,2025-09-15 06:48:57,"Miss you, come home safe."
589,Friend,Jamie,Riley,2025-05-18 17:54:05,Let's plan a trip soon!
590,Friend,Morgan,Jamie,2025-05-11 12:58:02,Can you pick me up at 6? 😂
591,Work/Colleague,Raj (PM),All,2025-09-05 02:36:13,Please share the slides by EOD.
592,Couple,Honey,Partner,2025-01-16 16:33:12,Love you to the moon.
593,Work/Colleague,Raj (PM),All,2025-03-21 02:16:04,Who will cover the support shift???
594,Work/Colleague,Raj (PM),Team,2024-12-24 18:56:19,Any updates on the ticket? 😂
595,Friend,Taylor,Casey,2025-03-02 07:52:13,What's the plan this weekend?...
596,Friend,Jamie,Casey,2025-09-09 10:03:03,"I'm running late, save me a seat.!"
597,Work/Colleague,Raj (PM),Team,2025-03-11 13:17:36,Who will cover the support shift?
598,Work/Colleague,Raj (PM),Client,2025-07-24 18:19:55,Please share the slides by EOD. - can't wait
599,Mixed/Generic,Contact,Friend,2024-12-30 16:35:38,LOL that's hilarious!...
600,Couple,You,Partner,2025-02-04 14:03:53,You always make me smile ❤️??
601,Friend,Jamie,Casey,2025-03-15 06:35:28,I aced the presentation today!
602,Friend,Morgan,Alex,2025-02-17 06:22:24,Can you pick me up at 6?...
603,Work/Colleague,Chris (Lead),You,2025-02-10 22:50:54,Who will cover the support shift?...
604,Family,Sis,Sis,2025-08-02 13:50:00,Send the grocery list.
605,Couple,Love,Partner,2025-04-08 02:13:41,Love you to the moon. - can't wait
606,Friend,Alex,Casey,2025-01-04 19:44:56,"I'm running late, save me a seat. - can't wait"
607,Family,Uncle,Mom,2025-09-01 12:27:04,Don't forget your jacket!
608,Friend,Sam,Riley,2025-08-16 23:33:05,Can you pick me up at 6?🙏
609,Friend,Taylor,Jamie,2025-06-05 02:27:21,Can you pick me up at 6? :)
610,Work/Colleague,Chris (Lead),Team,2025-04-04 06:24:21,Can you review the report???
611,Family,Dad,Bro,2025-02-27 04:36:40,Take care of the dog while I'm away.
612,Family,Aunt,Bro,2025-08-26 09:18:54,Are you coming home this weekend?...
613,Friend,Sam,Morgan,2025-01-18 18:39:42,Did you watch that new series?🙏
614,Family,Bro,Dad,2025-05-05 17:53:47,Are you coming home this weekend? 😂
615,Mixed/Generic,User1,Friend,2025-01-20 11:43:39,"Sure, works for me.!"
616,Friend,Casey,Taylor,2025-08-09 07:39:16,What's the plan this weekend? :)
617,Work/Colleague,Priya (Dev),All,2025-02-20 07:11:30,I'll be WFH tomorrow....
618,Couple,Bae,Partner,2025-02-05 15:10:47,"Miss you, come home safe.🙏"
619,Family,Sis,Bro,2025-03-03 02:30:11,Take care of the dog while I'm away.
620,Friend,Alex,Alex,2025-07-12 00:31:12,Did you watch that new series? :)
621,Mixed/Generic,User1,Friend,2025-08-12 10:40:34,Happy birthday! 🎉 😂
622,Friend,Sam,Taylor,2025-05-09 21:43:44,I aced the presentation today!...
623,Family,Uncle,Mom,2025-05-10 15:12:46,How's school/work going?!
624,Mixed/Generic,Contact,Friend,2025-07-19 22:59:07,That sounds perfect.
625,Family,Dad,Sis,2025-02-18 08:24:39,Send the grocery list.🙏
626,Friend,Riley,Jamie,2024-12-11 03:40:06,"I'm running late, save me a seat."
627,Friend,Sam,Morgan,2025-04-19 20:13:03,Did you watch that new series?
628,Family,Dad,Sis,2025-06-08 13:24:04,"Bring umbrellas, it's raining here."
629,Work/Colleague,Raj (PM),All,2025-01-24 04:31:41,Please share the slides by EOD. - can't wait
630,Work/Colleague,Liam (QA),Client,2025-02-16 17:20:32,Who will cover the support shift?🙏
631,Friend,Taylor,Jordan,2025-10-21 11:59:17,Let's plan a trip soon!...
632,Friend,Morgan,Sam,2025-08-03 22:36:42,What's the plan this weekend? - can't wait
633,Family,Sis,Sis,2025-01-12 11:03:53,Don't forget your jacket! :)
634,Couple,You,You,2025-04-10 21:37:44,Can't wait to see you later. - can't wait
635,Mixed/Generic,Contact,Friend,2024-12-10 18:41:41,See you soon.
636,Couple,Honey,Partner,2025-07-04 05:28:48,"Miss you, come home safe...."
637,Mixed/Generic,Contact,Contact,2025-03-21 04:46:59,That sounds perfect.??
638,Friend,Casey,Sam,2025-08-31 10:47:33,"I'm running late, save me a seat."
639,Family,Dad,Dad,2025-10-02 22:53:41,Remember to call your grandmother.!
640,Family,Uncle,Mom,2025-11-12 13:39:35,Are you coming home this weekend?
641,Work/Colleague,Raj (PM),Team,2025-08-25 21:12:28,Can you review the report?
642,Family,Dad,Sis,2025-05-10 13:57:17,Can you pick up some milk?!
643,Family,Sis,Mom,2024-12-16 02:04:20,Are you coming home this weekend?!
644,Family,Mom,Mom,2025-05-25 12:04:19,Can you pick up some milk?
645,Friend,Sam,Riley,2025-05-13 15:59:38,That meme you sent cracked me up 😂??
646,Work/Colleague,Emma (HR),All,2025-08-05 01:24:51,Can you review the report?...
647,Work/Colleague,Liam (QA),All,2024-12-13 06:47:20,Reminder: submit timesheets. 😂
648,Couple,Love,You,2025-11-04 06:11:47,"Good morning, love ☀️"
649,Family,Aunt,Mom,2025-08-09 17:51:37,Are you coming home this weekend? 😂
650,Friend,Jordan,Jordan,2025-08-03 07:55:10,What's the plan this weekend?
651,Work/Colleague,Raj (PM),All,2025-10-28 10:23:47,Great job on the demo!🙏
652,Couple,You,Partner,2025-07-20 02:48:15,Can't wait to see you later.
653,Friend,Jamie,Casey,2025-09-20 06:30:52,Call me when you're free. - can't wait
654,Friend,Sam,Taylor,2025-03-21 13:58:19,That meme you sent cracked me up 😂 - can't wait
655,Couple,Love,You,2025-02-07 17:06:32,Can't stop thinking about you.🙏
656,Work/Colleague,Priya (Dev),Team,2025-07-21 22:18:51,Let's sync after lunch. - can't wait
657,Work/Colleague,Liam (QA),You,2024-12-12 18:18:28,Let's sync after lunch.
658,Work/Colleague,Emma (HR),You,2025-03-20 10:17:38,Any updates on the ticket? 😂
659,Friend,Sam,Riley,2025-02-22 23:13:40,Call me when you're free.
660,Friend,Sam,Alex,2025-01-06 05:14:38,Wanna grab coffee tomorrow?...
661,Work/Colleague,Emma (HR),All,2025-02-15 20:53:27,Who will cover the support shift?
662,Family,Bro,Dad,2025-05-08 22:14:57,Take care of the dog while I'm away. - can't wait
663,Work/Colleague,Liam (QA),All,2025-03-13 11:47:46,Who will cover the support shift???
664,Friend,Alex,Taylor,2024-12-10 00:20:29,Let's plan a trip soon!🙏
665,Work/Colleague,Emma (HR),All,2025-02-08 09:46:44,Please share the slides by EOD.
666,Family,Uncle,Bro,2025-11-04 22:24:45,"Bring umbrellas, it's raining here. - can't wait"
667,Work/Colleague,Raj (PM),You,2025-07-29 04:49:16,Great job on the demo! - can't wait
668,Family,Sis,Bro,2025-04-07 04:41:20,Take care of the dog while I'm away.??
669,Friend,Sam,Riley,2025-02-01 10:33:37,Let's plan a trip soon! 😂
